"date","%Iron.Feed","%Silica.Feed","Starch.Flow","Amina.Flow","Ore.Pulp.Flow","Ore.Pulp.pH","Ore.Pulp.Density","Flotation.Column.01.Air.Flow","Flotation.Column.02.Air.Flow","Flotation.Column.03.Air.Flow","Flotation.Column.04.Air.Flow","Flotation.Column.05.Air.Flow","Flotation.Column.06.Air.Flow","Flotation.Column.07.Air.Flow","Flotation.Column.01.Level","Flotation.Column.02.Level","Flotation.Column.03.Level","Flotation.Column.04.Level","Flotation.Column.05.Level","Flotation.Column.06.Level","Flotation.Column.07.Level","%Iron.Concentrate","%Silica.Concentrate"
"2017-03-10 1:00",0.552,0.1698,3148.05,561.951,396.533,10.0746,1.74,249.236,250.818,250.225,295.096,306.4,250.203,246.797,456.495,438.06,466.332,458.005,455.493,448.05,452.663,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3150.39,558.472,397.852,10.0755,1.74,249.17,249.829,251.147,295.096,306.4,250.928,246.533,461.45,421.41,467.79,458.59,453.84,448.05,451.34,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3280.27,564.026,393.545,10.0763,1.74,249.016,249.829,251.147,295.096,306.4,249.543,251.147,457.947,425.372,453.818,453.942,459.629,443.738,460.608,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3411.13,567.261,394.16,10.0771,1.74,249.258,250.137,251.609,295.096,306.4,248.643,249.587,448.037,428.26,447.074,458.516,472.134,461.49,467.667,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3447.46,561.646,392.549,10.0779,1.74,249.39,251.191,250.269,295.096,306.4,249.434,250.225,433.923,418.459,431.266,465.705,481.442,479.298,471.307,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3562.7,560.364,394.688,10.0788,1.74,250.005,252.202,249.456,295.096,306.4,250.598,248.84,434.674,416.42,435.956,459.922,484.36,457.85,473.847,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3707.03,563.049,396.504,10.0796,1.74,250.115,249.39,249.697,295.096,306.4,251.082,250.774,446.736,398.407,444.212,444.88,471.964,439.874,470.261,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3784.96,557.983,394.834,10.0804,1.74,250.049,246.533,249.829,295.096,306.4,250.378,248.643,451.991,426.335,443.024,429.998,452.629,440.77,463.421,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3798.05,563.11,396.709,10.0812,1.74,250.203,248.181,250.291,295.096,306.4,250.203,249.807,447.537,428.318,445.292,425.78,433.191,453.034,451.617,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3866.6,564.27,398.262,10.0821,1.74,250.269,247.939,249.719,295.096,306.4,250.422,251.543,452.441,443.155,444.104,418.668,409.287,453.65,437.82,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3907.42,568.054,394.951,10.0829,1.74,250.115,249.258,249.697,295.096,306.4,250.642,248.884,439.679,451.199,446.372,420.548,403.83,438.25,413.212,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3705.66,560.669,396.123,10.0837,1.74,250.356,251.433,249.521,295.096,306.4,250.4,249.324,441.681,446.1,444.428,421.288,397.113,431.586,405.595,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3554.3,572.449,395.01,10.0845,1.74,250.488,247.104,249.236,295.096,306.4,250.115,249.28,447.186,468.245,451.657,449.687,399.592,437.13,399.916,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3523.24,563.416,394.453,10.0854,1.74,250.181,247.456,249.324,295.096,306.4,249.434,248.181,453.542,500.023,454.624,458.008,414.796,460.818,403.059,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3514.65,565.613,400.986,10.0862,1.74,249.28,252.971,251.697,295.096,306.4,249.324,251.543,450.69,492.148,458.458,458.714,419.473,463.618,415.585,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3492.58,569.031,408.018,10.0875,1.74,248.95,252.883,250.686,295.096,306.4,250.159,248.972,451.24,504.664,456.838,456.76,428.394,458.186,434.562,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3508.98,568.848,398.994,10.089,1.74,249.412,252.949,249.214,295.096,306.4,249.873,251.191,449.989,484.614,458.782,485.549,442.769,451.13,440.08,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3537.3,557.312,400.488,10.0906,1.74,249.609,253.191,249.258,295.096,306.4,249.456,249.983,438.077,440.264,464.013,474.647,461.111,456.45,455.199,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3555.86,562.195,404.766,10.0921,1.74,249.763,247.896,249.851,295.096,306.4,250.005,249.807,443.933,433.241,461.479,476.21,468.607,466.082,474.567,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3570.12,571.533,401.572,10.0936,1.74,250.291,251.653,251.279,295.096,306.4,252.114,250.115,448.438,425.826,461.59,485.898,482.759,466.418,479.645,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3579.69,571.167,394.57,10.0951,1.74,254.487,257.607,255.498,295.096,306.4,254.597,253.586,436.876,436.474,460.132,456.719,485.845,452.474,480.25,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3565.63,562.805,393.516,10.0967,1.74,258.662,259.211,256.465,295.096,306.4,256.245,253.564,438.578,431.037,439.896,449.646,478.908,439.874,477.493,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3550.39,566.101,396.504,10.0982,1.74,259.255,254.817,254.202,295.096,306.4,257.256,252.905,444.233,436.643,415.022,444.136,455.99,441.946,468.442,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3546.88,568.848,397.559,10.0997,1.74,259.058,252.905,253.345,295.096,306.4,257.52,252.905,445.435,441.23,407.9,440.62,447.23,444.13,465.13,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3613.87,567.139,398.994,10.1013,1.74,257.981,251.829,251.96,295.096,306.4,257.52,252.444,464.003,463.434,413.941,437.89,432.579,446.874,452.383,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3680.86,561.707,399.199,10.1028,1.74,257.212,252.29,251.06,295.096,306.4,257.212,252.554,467.756,498.325,428.619,429.608,412.041,451.186,434.565,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3719.14,563.11,402.715,10.1043,1.74,256.465,252.378,250.313,295.096,306.4,256.772,252.224,467.706,502.06,442.487,425.741,398.986,448.61,423.089,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3725.78,570.129,403.887,10.1059,1.74,256.816,252.4,250.203,295.096,306.4,256.333,251.873,468.457,495.437,458.67,428.4,385.216,445.754,432.025,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3734.18,569.946,400.02,10.1074,1.74,256.311,247.544,250.576,295.096,306.4,256.509,251.191,465.304,284.561,456.457,437.068,394.471,442.506,422.318,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3766.99,579.224,406.084,10.1104,1.74,254.531,248.884,250.488,295.096,306.4,255.959,250.269,452.942,373.15,482.68,472.891,425.699,455.778,423.476,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3804.88,598.389,403.477,10.112,1.74,254.355,250.884,250.334,295.096,306.4,255.762,250.422,457.396,486.826,490.828,444.921,415.399,471.01,438.315,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3816.99,600.83,402.861,10.1135,1.74,254.07,251.763,249.346,295.096,306.4,255.916,250.796,452.241,508.292,474.75,432.849,412.097,470.45,480.689,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3812.3,599.365,403.516,10.115,1.74,254.736,247.339,248.95,295.096,306.4,254.956,250.195,461.617,513.163,462.757,455.08,419.33,462.05,480.393,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3818.75,595.001,403.14,10.1166,1.74,254.817,248.28,249.95,295.096,306.4,254.586,250.115,462.751,515.94,458.485,466.273,434.26,438.299,458.319,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3820.9,589.874,394.834,10.1181,1.74,254.092,246.193,250.917,295.096,306.4,254.663,250.411,465.154,507.926,450.526,463.868,449.935,434.607,455.093,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3802.54,594.33,397.002,10.1196,1.74,253.641,246.687,251.005,295.096,306.4,253.806,250.774,462.751,499.284,448.856,477.99,472.845,450.542,447.725,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3788.09,598.724,395.156,10.1211,1.74,253.422,251.071,251.213,295.096,306.4,254.059,250.214,440.104,317.64,442.275,493.181,494.655,469.386,451.837,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3774.22,598.969,391.904,10.1227,1.74022,252.916,251.115,250.939,295.096,306.4,255.157,249.829,446.986,340.792,430.405,496.617,522.335,490.246,477.66,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,2588.77,597.9,394.556,10.1288,1.7416,252.971,248.302,247.917,295.096,306.4,252.883,250.62,443.232,509.595,431.37,412.658,470.205,476.022,487.337,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3026.46,598.755,397.471,10.1303,1.74195,252.839,248.785,250.356,295.096,306.4,252.092,250.642,455.72,507.811,444.56,442.855,473.921,431.803,439.941,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,2962.89,598.755,399.316,10.1307,1.74229,252.686,249.17,251.587,295.096,306.4,252.246,250.488,463.953,509.2,452.68,453.52,480.28,416.12,424.3,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,2926.07,607.086,395.508,10.1305,1.74264,253.257,250.884,251.73,295.096,306.4,251.96,250.203,459.073,506.99,458.998,454.788,483.147,421.58,401.706,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,2940.53,600.861,396.694,10.1302,1.74298,252.993,250.95,251.949,295.096,306.4,251.521,249.906,461.325,261.341,455.731,461.307,483.975,445.638,395.28,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,2975.2,598.602,398.452,10.1298,1.74367,252.092,251.104,249.467,295.096,306.4,249.697,250.334,454.193,368.108,468.145,450.738,480.531,499.318,452.579,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3053.71,599.823,399.097,10.1295,1.74402,252.532,249.412,248.818,295.096,306.4,248.104,249.774,441.456,509.625,460.182,423.496,463.592,495.594,478.403,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3094.24,596.375,397.896,10.1293,1.74436,252.114,249.489,248.225,295.096,306.4,254.553,249.39,440.029,524.378,460.773,423.264,447.176,472.102,479.453,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3087.5,593.506,397.925,10.1291,1.74471,251.521,248.807,248.357,295.096,306.4,254.685,249.818,453.467,528.51,459.642,437.055,441.341,443.458,450.703,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3071.88,599.792,401.865,10.1288,1.74505,251.796,250.873,248.511,295.096,306.4,248.687,250.906,460.274,520.326,465.768,455.236,449.244,431.132,422.287,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3056.25,598.877,395.332,10.1286,1.7454,251.598,251.455,251.224,295.096,306.4,253.531,251.082,450.69,505.887,465.576,465.178,462.956,438.667,412.576,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3055.86,596.71,398.438,10.1283,1.74574,251.082,251.576,252.543,295.096,306.4,251.301,250.785,454.869,264.879,464.685,476.563,469.954,460.678,418.786,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3068.75,594.94,396.255,10.1281,1.74609,251.499,253.235,251.609,295.096,306.4,246.215,250.137,457.997,309.045,451.954,491.936,498.487,485.542,441.656,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3078.03,592.285,398.394,10.1279,1.74643,251.521,250.433,250.291,295.096,306.4,255.07,249.829,455.319,353.211,438.98,475.176,494.714,490.694,475.199,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3086.43,587.86,402.891,10.1276,1.74678,251.367,252.51,248.972,295.096,306.4,251.235,250.258,455.419,504.813,439.112,426.717,470.371,494.026,503.174,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3091.11,588.715,398.379,10.1274,1.74712,251.51,248.236,248.511,295.096,306.4,254.169,250.345,448.788,514.749,445.724,418.711,449.056,497.862,517.935,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3096.88,591.4,401.982,10.1272,1.74747,251.158,247.489,248.225,295.096,306.4,252.971,250.126,442.006,517.951,442.403,436.173,457.837,462.414,473.713,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3097.07,599.182,401.279,10.1269,1.74781,250.928,250.521,248.785,295.096,306.4,246.478,250.192,445.96,520.894,437.793,448.28,456.13,419.708,420.054,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3096.97,602.234,393.691,10.1267,1.74816,250.642,251.653,250.455,295.096,306.4,252.125,249.554,444.058,524.034,436.689,460.699,466.647,425.73,403.553,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3086.23,598.236,397.295,10.1265,1.7485,250.631,250.521,251.29,295.096,306.4,251.202,249.456,448.588,367.683,434.043,465.62,482.841,459.39,411.392,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3099.12,597.9,403.257,10.1262,1.74884,250.565,252.971,251.51,295.096,306.4,247.939,250.038,457.321,343.326,439.383,463.339,508.73,492.878,438.982,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3109.38,603.912,406.494,10.126,1.74919,251.06,254.377,251.444,295.096,306.4,254.344,250.697,462.551,318.969,446.129,462.363,500.438,493.858,472.14,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3116.99,603.912,409.995,10.1258,1.74953,251.51,254.081,251.082,295.096,306.4,251.96,249.642,454.193,501.468,455.546,428.479,466.37,478.178,492.303,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3121.09,600.433,409.995,10.1255,1.74988,251.158,250.433,249.928,295.096,306.4,245.731,249.236,444.058,524.352,455.839,402.796,435.939,479.606,504.306,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3121.09,599.365,409.277,10.1253,1.74978,250.928,248.511,249.39,295.096,306.4,244.116,249.39,441.431,515.43,453.76,398.83,426.3,483.33,508.17,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3104.59,604.126,408.706,10.125,1.74943,250.928,247.083,248.676,295.096,306.4,253.828,250.961,448.588,507.702,459.025,422.444,420.931,455.666,478.758,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3088.09,606.689,403.638,10.1248,1.74909,251.213,249.313,248.719,295.096,306.4,256.63,250.807,455.044,531.516,461.86,441.758,421.979,421.836,429.568,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3090.33,603.912,402.217,10.1246,1.74874,250.796,248.785,248.665,295.096,306.4,248.181,249.697,453.843,523.018,464.31,440.233,431.621,412.732,402.646,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3103.91,607.574,401.499,10.1243,1.7484,250.774,247.632,248.796,295.096,306.4,250.763,249.675,444.634,505.917,456.862,471.521,452.134,433.711,394.947,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3134.77,610.748,409.351,10.1241,1.74806,251.213,247.775,248.95,295.096,306.4,250.225,251.543,453.117,216.37,451.438,498.219,473.889,466.166,412.048,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3152.44,607.697,397.397,10.1234,1.74737,251.082,248.632,251.653,295.096,306.4,246.632,248.796,459.248,400.449,442.619,467.928,487.523,494.642,485.909,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3152.93,605.133,393.677,10.1231,1.74702,250.928,251.455,252.092,295.096,306.4,251.202,250.093,450.189,520.246,442.781,420.487,474.416,490.47,514.187,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3172.07,601.654,396.211,10.1227,1.74668,251.071,250.543,251.96,295.096,306.4,255.839,251.993,443.958,526.448,444.023,410.289,454.614,509.146,531.676,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3203.22,601.379,399.185,10.1224,1.74633,250.576,248.533,250.95,295.096,306.4,248.73,251.115,451.891,510.533,444.941,430.856,443.27,476.05,482.152,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3209.77,600.22,397.046,10.122,1.74599,250.411,251.213,249.631,295.096,306.4,250.4,250.411,454.168,505.434,443.726,445.664,455.692,432.139,421.79,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3193.07,596.588,399.507,10.1217,1.74565,250.345,246.05,248.599,295.096,306.4,254.213,250.488,457.171,381.078,447.533,457.598,462.853,429.902,395.663,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3176.66,597.473,397.09,10.1213,1.7453,249.983,247.357,248.291,295.096,306.4,247.731,251.06,450.014,365.787,452.44,454.238,470.889,467.006,406.065,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3173.14,605.103,390.63,10.121,1.74496,250.115,249.62,248.291,295.096,306.4,249.258,249.225,437.452,350.496,453.058,460.153,472.818,501.558,431.224,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3175.1,606.934,400.474,10.1206,1.74461,250.554,249.39,248.434,295.096,306.4,252.883,248.643,441.556,503.482,449.878,435.155,462.52,495.118,455.724,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3162.48,600.789,404.757,10.1203,1.74427,250.429,249.39,250.007,295.096,306.4,248.72,250.718,442.527,513.869,450.37,413.915,449.857,484.263,475.643,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3148.44,597.168,404.473,10.1199,1.74392,250.001,247.939,251.587,295.096,306.4,245.215,249.565,454.543,514.864,456.136,419.376,429.496,467.314,472.86,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3153.91,604.614,401.836,10.1196,1.74358,250.225,248.027,251.895,295.096,306.4,250.972,248.599,454.644,510.106,457.54,430.388,425.422,428.444,448.36,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3177.73,601.318,398.027,10.1192,1.74324,250.488,251.367,251.411,295.096,306.4,256.289,251.323,446.335,506.026,452.578,456.48,440.518,423.854,418.566,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3176.56,597.534,399.785,10.1189,1.74289,250.093,251.147,251.411,295.096,306.4,249.17,250.005,447.336,485.18,452.9,474.06,453.736,442.226,408.966,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3155.08,594.727,396.914,10.1185,1.74255,249.961,253.389,250.269,295.096,306.4,249.565,249.521,446.836,255.22,454.84,480.7,467.282,469.218,421.1,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3134.77,591.675,393.223,10.1181,1.7422,249.785,255.762,249.39,295.096,306.4,254.795,250.093,451.741,319.679,447.394,482.108,482.922,483.666,441.402,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3125.78,590.698,404.297,10.1178,1.74186,250.137,252.861,249.126,295.096,306.4,253.389,250.225,451.44,384.138,450.2,466.796,477.528,481.874,476.714,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3126.17,603.394,407.695,10.1174,1.74151,250.752,250.664,248.95,295.096,306.4,249.565,249.038,454.143,513.28,444.052,424.138,449.99,484.226,507.618,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3129.3,602.661,391.523,10.1171,1.74117,250.664,250.356,248.95,295.096,306.4,246.357,251.104,454.644,528.798,440.058,399.376,422.232,497.106,519.426,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3133.2,603.638,390,10.1167,1.74083,250.752,245.918,248.687,295.096,306.4,248.643,250.488,449.739,529.25,445.022,417.346,414.85,462.722,469.102,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3141.8,605.225,391.406,10.1164,1.74048,250.796,250.796,248.906,295.096,306.4,253.828,249.653,446.135,522.112,450.632,453.672,423.992,423.74,409.732,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3155.86,591.309,395.918,10.116,1.74014,250.313,254.399,251.411,295.096,306.4,250.752,251.191,448.538,513.844,451.282,473.592,438.972,421.496,376.516,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3162.11,583.496,400.488,10.1157,1.73959,250.049,253.345,252.905,295.096,306.4,247.412,251.807,450.94,510.9,449.99,476.56,445.58,425.08,365.26,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3164.45,584.961,393.809,10.1153,1.7389,250.181,249.521,252.905,295.096,306.4,245.698,250.093,449.739,504.78,452.576,481.012,455.498,445.918,385.786,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3167.19,595.093,393.75,10.115,1.73821,250.269,244.995,251.719,295.096,306.4,251.279,249.741,442.031,270.966,448.474,483.98,476.318,488.706,430.592,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3177.34,596.069,397.207,10.1146,1.73752,250.532,247.764,250.269,295.096,306.4,255.762,252.114,449.438,312.939,448.148,488.672,490.746,511.33,472.196,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3184.77,584.595,400.02,10.1143,1.73683,250.576,248.115,249.302,295.096,306.4,248.115,250.313,456.846,354.912,454.084,462.97,485.788,510.882,498.016,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3185.55,586.182,404.648,10.1139,1.73614,250.488,250.488,249.214,295.096,306.4,250.137,248.95,450.139,510.332,461.638,422.888,451.528,510.098,513.904,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3182.03,595.947,407.168,10.1135,1.73545,250.62,252.334,249.39,295.096,306.4,256.465,251.499,440.53,518.6,465.414,405.704,433.686,513.794,512.252,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3180.86,600.464,402.598,10.113,1.73476,250.576,250.62,249.258,295.096,306.4,250.137,250.269,443.833,510.446,456.246,415.706,428.618,481.874,468.224,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,2906.64,593.872,397.91,10.1111,1.732,249.961,251.543,249.741,295.096,306.4,256.113,249.038,454.043,437.608,435.848,466.794,467.616,484.45,415.47,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3086.72,589.966,396.27,10.1107,1.73131,250.313,250.752,250.928,295.096,306.4,250.884,249.126,449.739,238.118,433.584,476.714,490.084,494.418,458.728,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3114.06,591.675,400.195,10.1102,1.73062,250.093,250.005,251.104,295.096,306.4,245.435,251.543,440.129,323.078,432.504,473.594,492.618,494.194,490.288,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3111.33,590.332,399.434,10.1097,1.72993,250.488,250.049,251.455,295.096,306.4,250.62,250.181,440.93,479.522,441.354,439.452,468.936,497.106,508.054,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3137.89,591.553,391.523,10.1093,1.72924,250.532,249.434,251.675,295.096,306.4,253.213,248.511,449.438,508.18,444.266,412.81,442.826,502.818,527.038,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3181.64,587.891,387.715,10.1088,1.72855,250.532,247.939,251.455,295.096,306.4,246.841,249.961,450.94,514.184,441.242,405.392,432.91,471.794,491.946,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3192.58,581.299,395.684,10.1083,1.72786,250.313,248.599,250.181,295.096,306.4,247.456,251.982,453.843,515.996,452.792,418.832,429.61,435.388,428.938,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3189.45,585.693,403.359,10.1078,1.72717,250.313,249.258,249.39,295.096,306.4,252.114,250.708,447.136,518.602,456.568,452.658,436.992,419.816,393.072,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3178.91,589.6,397.676,10.1074,1.72648,250.356,249.961,249.126,295.096,306.4,251.104,249.521,454.744,513.052,456.676,465.702,448.996,438.078,382.364,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3160.16,586.304,395.156,10.1069,1.72579,250.4,248.379,249.082,295.096,306.4,247.632,250.4,454.644,276.064,457.648,480.548,467.614,465.522,398.81,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3161.72,585.938,390.527,10.1064,1.7251,250.752,245.127,249.17,295.096,306.4,252.114,251.455,443.933,323.586,454.732,492.502,489.428,490.946,425.078,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3172.66,580.933,392.578,10.106,1.72441,250.664,249.17,249.302,295.096,306.4,251.499,250.752,448.438,371.108,454.84,480.076,486.122,499.01,465.246,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3172.27,581.543,398.789,10.1055,1.72372,250.488,249.258,249.126,295.096,306.4,246.797,249.39,448.037,505.46,462.394,444.528,458.47,499.458,514.68,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3152.34,578.857,410.215,10.105,1.72303,250.093,251.323,248.555,295.096,306.4,250.137,249.478,453.743,515.994,460.884,421.406,442.72,496.882,517.216,0.6691,0.0131
